AWS,Row Position,Column Position,name,DEM,Imerg,R500,SLHF,TCLW,TCWV
0.20000000298023224,5,121,20190401020000,9,0.11,26.176733,-384721.0,0.6503906,45.76773
3.9000000953674316,1,121,20190401020000,17,4.56,26.176733,-384721.0,0.6503906,45.76773
12.199999809265137,2,117,20190401020000,12,1.31,26.176733,-384721.0,0.6503906,45.76773
2.299999952316284,2,118,20190401020000,12,1.31,26.176733,-384721.0,0.6503906,45.76773
1.600000023841858,2,119,20190401020000,14,1.31,26.176733,-384721.0,0.6503906,45.76773
10.199999809265137,0,128,20190401020000,11,1.86,42.91111,-422865.0,0.39453125,45.86148
0.800000011920929,4,117,20190401020000,12,1.31,26.176733,-384721.0,0.6503906,45.76773
9.199999809265137,0,114,20190401020000,14,0.20071334,14.254858,-292881.0,0.69610596,44.82242
0.0,5,27,20190401020000,577,0.0,4.332983,-571473.0,0.0,22.308746
11.100000381469727,2,122,20190401020000,12,1.14,36.18064,-351633.0,0.5905762,44.959137
0.6000000238418579,6,112,20190401020000,91,1.27,14.383764,-290385.0,0.6972046,43.6857
0.4000000059604645,39,114,20190401020000,137,0.0,17.05564,-246353.0,0.7611084,45.189606
26.799999237060547,7,115,20190401020000,104,0.66999996,14.383764,-290385.0,0.6972046,43.6857
90.69999694824219,67,121,20190401020000,258,0.0,14.8407955,-368785.0,0.28948975,44.869293
0.800000011920929,60,107,20190401020000,69,0.0,9.133764,-355665.0,0.33624268,39.84195
2.0,51,96,20190401020000,112,0.0,8.5439205,-460305.0,0.46380615,35.8732
7.0,37,113,20190401020000,56,0.0,17.05564,-246353.0,0.7611084,45.189606
2.200000047683716,36,115,20190401020000,13,0.0,23.61814,-244177.0,0.77563477,47.27359
3.799999952316284,2,123,20190401020000,12,1.14,36.18064,-351633.0,0.5905762,44.959137
21.5,35,113,20190401020000,94,0.0,23.61814,-244177.0,0.77563477,47.27359
7.300000190734863,26,110,20190401020000,39,0.0,24.422827,-243857.0,0.7520752,48.193512
0.0,7,70,20190401020000,943,0.0,3.0478268,-321105.0,0.022949219,24.49234
1.7999999523162842,6,116,20190401020000,10,1.27,27.05564,-366545.0,0.7142334,46.201324
3.4000000953674316,19,113,20190401020000,146,0.0,17.582983,-250449.0,0.621521,46.869293
22.0,0,118,20190401020000,12,1.344209,26.176733,-384721.0,0.6503906,45.76773
0.4000000059604645,19,112,20190401020000,156,0.0,17.582983,-250449.0,0.621521,46.869293
2.5999999046325684,10,113,20190401020000,125,0.61,14.383764,-290385.0,0.6972046,43.6857
3.0,12,119,20190401020000,20,0.0,28.157202,-306961.0,0.762146,46.734528
0.800000011920929,17,115,20190401020000,62,0.0,13.485327,-267537.0,0.59954834,44.369293
1.399999976158142,13,104,20190401020000,887,0.0,5.7314205,-224593.0,0.5247803,40.47867
0.800000011920929,13,111,20190401020000,203,0.0,13.485327,-267537.0,0.59954834,44.369293
0.6000000238418579,13,120,20190401020000,61,0.0,28.157202,-306961.0,0.762146,46.734528
0.20000000298023224,16,109,20190401020000,350,0.0,13.485327,-267537.0,0.59954834,44.369293
30.600000381469727,0,116,20190401020000,14,1.4662826,26.176733,-384721.0,0.6503906,45.76773
1.600000023841858,21,109,20190401020000,60,0.0,17.582983,-250449.0,0.621521,46.869293
0.0,0,215,20190401030000,0,0.0,21.514635,-107216.0,0.3692627,50.01622
0.0,8,107,20190401030000,261,0.0,10.202135,-330896.0,0.58618164,39.0963
0.0,26,177,20190401030000,32767,0.0,8.663073,-443664.0,0.047668457,41.551376
0.0,29,216,20190401030000,59,0.0,12.354479,-217872.0,0.07019043,48.87755
0.0,31,182,20190401030000,0,0.0,5.795885,-192720.0,0.048950195,42.19786
0.0,32,72,20190401030000,806,0.0,3.9794788,-428624.0,0.086364746,22.871689
0.0,32,215,20190401030000,69,0.0,13.09276,-654928.0,0.053344727,46.400986
0.0,41,54,20190401030000,1111,0.0,3.7607288,-869520.0,0.05871582,20.565048
0.0,43,17,20190401030000,685,0.0,3.1474476,-639504.0,0.037475586,27.424423
0.0,63,213,20190401030000,567,0.0,10.959948,-762832.0,0.15185547,39.758408
0.0,65,89,20190401030000,756,0.0,19.541979,-767120.0,0.06719971,29.004501
0.0,87,20,20190401030000,345,0.0,5.7099476,-797072.0,0.025939941,39.54747
0.0,87,121,20190401030000,654,0.0,24.631823,-644880.0,0.0927124,34.39708
0.0,14,164,20190401030000,0,0.0,25.670885,-445008.0,0.04449463,42.748642
0.0,53,99,20190401030000,142,0.0,11.90526,-653776.0,0.7614136,42.307236
32.79999923706055,3,121,20190401030000,39,2.097529,12.362291,-499792.0,0.7581787,45.594345
5.199999809265137,3,115,20190401030000,12,2.4130864,8.983385,-368528.0,0.5839844,44.28575
0.20000000298023224,19,112,20190401030000,156,0.0,16.760729,-513872.0,0.6399536,46.2545
6.800000190734863,21,109,20190401030000,60,0.0,16.760729,-513872.0,0.6399536,46.2545
0.20000000298023224,24,106,20190401030000,97,0.0,18.057604,-463504.0,0.74316406,41.736923
